ID,CALLE,ALT PLANO,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen,L_SENTIDO,CATEGORIA
"2271",DE LOS CONSTITUYENTES AV.,"3497",-58.4843683,-34.5891714,"15",PARQUE CHAS,"111",I,,,,,,,,,,,"111-General San Martín (General San Martín), Paternal (CABA), Saavedra (CABA), Villa Pueyrredon (CABA), Villa Urquiza (CABA)",OFICIAL
"2272",DE LOS CONSTITUYENTES AV.,"3494",-58.4845545,-34.5892409,"15",AGRONOMIA,"111",V,,,,,,,,,,,"111-Monserrat (CABA), San Telmo (CABA)",OFICIAL
"2273",DE LOS CONSTITUYENTES AV.,"3310",-58.4814408,-34.5902894,"15",AGRONOMIA,"111",V,,,,,,,,,,,"111-Monserrat (CABA), San Telmo (CABA)",OFICIAL
"2274",CHORROARIN AV.,"595",-58.4741091,-34.5900475,"15",PARQUE CHAS,"113",I,,,,,,,,,,,133-Vicente López (Vicente López),OFICIAL
"2275",CHORROARIN AV.,"685",-58.4731284,-34.5893324,"15",PATERNAL,"113",V,,,,,,,,,,,113-Belgrano (CABA),OFICIAL
"2276",GRAL. MOSCONI AV.,"2130",-58.4937051,-34.5811382,"12",VILLA PUEYRREDON,"90",V,,,,,,,,,,,"90-Barracas (CABA), Constitucion (CABA)",OFICIAL
"2277",JUAN B. JUSTO AV.,"1045",-58.4303243,-34.58211,"14",PALERMO,"166",V,"34",V,,,,,,,,,166-Palermo (CABA),OFICIAL
"2278",GRAL. MOSCONI AV.,"2126",-58.4936318,-34.5810932,"12",VILLA PUEYRREDON,"107",I,"114",V,,,,,,,,,107-Belgrano (CABA)|114-Belgrano (CABA),OFICIAL
"2279",JUAN B. JUSTO AV.,"1524",-58.4352243,-34.58586,"14",PALERMO,"166",V,"34",V,,,,,,,,,166-Palermo (CABA),OFICIAL
"2280",HONDURAS,"5447",-58.4345297,-34.5855504,"14",PALERMO,"39",I,,,,,,,,,,,39-Chacarita (CABA),OFICIAL
"2281",GRAL. MOSCONI AV.,"2514",-58.497789,-34.5836108,"12",VILLA PUEYRREDON,"87",V,,,,,,,,,,,"87-Chacarita (CABA)|90-Barracas (CABA), Constitucion (CABA)",OFICIAL
"2282",GRAL. MOSCONI AV.,"2530",-58.4979698,-34.5837786,"12",VILLA PUEYRREDON,"107",I,"114",V,,,,,,,,,107-Belgrano (CABA)|114-Belgrano (CABA),OFICIAL
"2284",GRAL. MOSCONI AV.,"2902",-58.5023102,-34.5864605,"12",VILLA PUEYRREDON,"87",V,,,,,,,,,,,"87-Chacarita (CABA)|90-Chacarita (CABA), Villa Devoto (CABA)",OFICIAL
"2285",GRAL. MOSCONI AV.,"2904",-58.502336,-34.586476,"12",VILLA PUEYRREDON,"107",I,"114",V,,,,,,,,,107-Belgrano (CABA)|114-Belgrano (CABA),OFICIAL
"2288",GODOY CRUZ,"1791",-58.4330334,-34.5869843,"14",PALERMO,"55",V,"55",V,,,,,,,,,"39-Barracas (CABA), Boca (CABA)",OFICIAL
"2289",GODOY CRUZ,"1993",-58.4312742,-34.5856079,"14",PALERMO,"39",V,"55",V,,,,,,,,,"39-Barracas (CABA), Boca (CABA)",OFICIAL
"2290",CARLOS ANTONIO LOPEZ,"3247",-58.508127,-34.5885627,"12",VILLA PUEYRREDON,"114",I,,,,,,,,,,,114-Lomas de Zamora (Lomas de Zamora),OFICIAL
"2292",CARLOS ANTONIO LOPEZ,"3095",-58.5055032,-34.5869366,"12",VILLA PUEYRREDON,"114",I,,,,,,,,,,,114-Lomas de Zamora (Lomas de Zamora),OFICIAL
"2293",CARLOS ANTONIO LOPEZ,"2889",-58.5028238,-34.5852672,"12",VILLA PUEYRREDON,"114",I,,,,,,,,,,,114-Lomas de Zamora (Lomas de Zamora),OFICIAL
"2295",CARLOS ANTONIO LOPEZ,"2697",-58.5005773,-34.5838743,"12",VILLA PUEYRREDON,"114",I,,,,,,,,,,,114-Lomas de Zamora (Lomas de Zamora),OFICIAL
"2297",CARLOS ANTONIO LOPEZ,"2495",-58.4982548,-34.5824354,"12",VILLA PUEYRREDON,"114",I,,,,,,,,,,,114-Lomas de Zamora (Lomas de Zamora),OFICIAL
"2299",GRIVEO,"2487",-58.4990475,-34.5816054,"12",VILLA PUEYRREDON,"90",I,"107",V,,,,,,,,,"90-Chacarita (CABA), Villa Devoto (CABA)|107-Parque Avellaneda (CABA)",OFICIAL
"2304",THAMES,"1220",-58.435126,-34.5906516,"14",PALERMO,"55",I,,,,,,,,,,,"55-Morón (La Matanza), Morón (Morón), San Justo (La Matanza), Villa Luzuriaga (La Matanza), Villa Luzuriaga (Morón)",OFICIAL
"2310",THAMES,"2410",-58.4228084,-34.5819919,"14",PALERMO,"55",I,,,,,,,,,,,"36-Ciudad Celina (La Matanza), Ingeniero Budge (Lomas de Zamora)|55-Morón (La Matanza), Morón (Morón), San Justo (La Matanza), Villa Luzuriaga (La Matanza), Villa Luzuriaga (Morón)",OFICIAL
"2311",URIARTE,"2489",-58.4228332,-34.5808322,"14",PALERMO,"55",V,,,,,,,,,,,"55-Belgrano (CABA), Caballito (CABA)",OFICIAL
"2313",JORGE LUIS BORGES,"2189",-58.4243207,-34.5848111,"14",PALERMO,"55",V,,,,,,,,,,,"55-Belgrano (CABA), Caballito (CABA)",OFICIAL
"2314",ZAMUDIO,"4299",-58.4937003,-34.5858337,"12",VILLA PUEYRREDON,"87",I,"110",I,,,,,,,,,"87-Boulogne (San Isidro), Garín (Escobar), Garín (Tigre), General San Martín (General San Martín), Ricardo Rojas (Escobar), Ricardo Rojas (Tigre)|110-Villa Martelli (Vicente López)",OFICIAL
"2315",JORGE LUIS BORGES,"1895",-58.4271493,-34.5868081,"14",PALERMO,"55",V,,,,,,,,,,,"55-Belgrano (CABA), Caballito (CABA)",OFICIAL
"2317",GABRIELA MISTRAL,"2493",-58.4967162,-34.5841272,"12",VILLA PUEYRREDON,"87",I,"110",I,,,,,,,,,"87-Boulogne (San Isidro), Garín (Escobar), Garín (Tigre), General San Martín (General San Martín), Ricardo Rojas (Escobar), Ricardo Rojas (Tigre)|110-Recoleta (CABA)|110-Villa Martelli (Vicente López)",OFICIAL
"2318",GABRIELA MISTRAL,"2699",-58.4989402,-34.5855051,"12",VILLA PUEYRREDON,"87",I,,,,,,,,,,,"87-Boulogne (San Isidro), Garín (Escobar), Garín (Tigre), General San Martín (General San Martín), Ricardo Rojas (Escobar), Ricardo Rojas (Tigre)",OFICIAL
"2320",GABRIELA MISTRAL,"2895",-58.5012633,-34.5869434,"12",VILLA PUEYRREDON,"87",I,,,,,,,,,,,"87-Boulogne (San Isidro), Garín (Escobar), Garín (Tigre), General San Martín (General San Martín), Ricardo Rojas (Escobar), Ricardo Rojas (Tigre)",OFICIAL
"2321",GRAL. JOSE GERVASIO ARTIGAS,"4506",-58.4964572,-34.5848647,"12",VILLA PUEYRREDON,"87",V,"110",V,,,,,,,,,87-Chacarita (CABA)|110-Recoleta (CABA),OFICIAL
