id,pos
697,"-34.675512,-58.504536"
698,"-34.67592,-58.505244"
699,"-34.676027,-58.505416"
700,"-34.676585,-58.506231"
701,"-34.676735,-58.506446"
702,"-34.676821,-58.506575"
703,"-34.677315,-58.507283"
704,"-34.677444,-58.507433"
705,"-34.67768,-58.507798"
706,"-34.67813,-58.50842"
707,"-34.678559,-58.509128"
708,"-34.679353,-58.510265"
709,"-34.68004,-58.50945"
710,"-34.680662,-58.508677"
711,"-34.681263,-58.507926"
712,"-34.681907,-58.507175"
713,"-34.682529,-58.506403"
714,"-34.683044,-58.505716"
715,"-34.683216,-58.505459"
716,"-34.683688,-58.504579"
717,"-34.684739,-58.505373"
718,"-34.685726,-58.506231"
719,"-34.686735,-58.507047"
720,"-34.687722,-58.507884"
721,"-34.68873,-58.50872"
722,"-34.68976,-58.509557"
723,"-34.690297,-58.50857"
724,"-34.690404,-58.508506"
725,"-34.690468,-58.508484"
726,"-34.690704,-58.508441"
727,"-34.690897,-58.508849"
728,"-34.691391,-58.509257"
729,"-34.6924,-58.510072"
730,"-34.693429,-58.510931"
731,"-34.694438,-58.511853"
732,"-34.695189,-58.510759"
733,"-34.695296,-58.510609"
734,"-34.695897,-58.509729"
735,"-34.696155,-58.509364"
736,"-34.696498,-58.508849"
737,"-34.697034,-58.508077"
738,"-34.697077,-58.508012"
739,"-34.697657,-58.507175"
740,"-34.697957,-58.506725"
741,"-34.698858,-58.505437"
742,"-34.699738,-58.50415"
743,"-34.700253,-58.50342"
744,"-34.701004,-58.502326"
745,"-34.701648,-58.501403"
746,"-34.702291,-58.500502"
747,"-34.703043,-58.499386"
748,"-34.704081,-58.500282"
749,"-34.704609,-58.500738"
750,"-34.705768,-58.501811"
751,"-34.707205,-58.502884"
752,"-34.70757,-58.503206"
753,"-34.708471,-58.503978"
754,"-34.709287,-58.504558"
755,"-34.70963,-58.504987"
756,"-34.710124,-58.505523"
757,"-34.710746,-58.506188"
758,"-34.710982,-58.506382"
759,"-34.711089,-58.506467"
760,"-34.71242,-58.507175"
761,"-34.714887,-58.509064"
762,"-34.715016,-58.50915"
763,"-34.716947,-58.510566"
764,"-34.718599,-58.511703"
765,"-34.71865,-58.511735"
766,"-34.720037,-58.512604"
767,"-34.7203417355609,-58.5127790737298"
768,"-34.7205183045529,-58.5129504534024"
769,"-34.720646895921,-58.5131633538052"
770,"-34.7207024430289,-58.5133034148891"
771,"-34.7207491857815,-58.5135344222464"
772,"-34.7207527400496,-58.5137719753477"
773,"-34.7207305204574,-58.5140172352541"
774,"-34.7207126598344,-58.514098151689"
775,"-34.7205750067859,-58.5143223072095"
776,"-34.7204120446093,-58.514566766988"
777,"-34.7202366211605,-58.5148266275985"
778,"-34.7200839752744,-58.5150799948381"
779,"-34.7198665866305,-58.5154031375164"
780,"-34.7196348625195,-58.5157144305126"
781,"-34.7194656718211,-58.5158371947562"
782,"-34.7191061151842,-58.5161680231902"
783,"-34.7186519797301,-58.5167606389432"
784,"-34.7180099333568,-58.5175338234927"
785,"-34.7178381401287,-58.5177745388668"
786,"-34.7178236206262,-58.5180404117951"
787,"-34.7179373967441,-58.5182993484734"
788,"-34.7180797482098,-58.5184852091714"
789,"-34.7181662178842,-58.5185688974206"
790,"-34.7184043895476,-58.5185265670073"
791,"-34.7187896190815,-58.5182322337354"
792,"-34.7190234560466,-58.5180723176481"
793,"-34.7191459626348,-58.5180025766178"
794,"-34.7193169819515,-58.5177408603143"
795,"-34.7194843170226,-58.5175677065339"
796,"-34.7198183058316,-58.5172971748354"
797,"-34.7199689057,-58.5170470788515"
798,"-34.720090327581,-58.5169479390353"
799,"-34.7208212400183,-58.5163235096155"
800,"-34.7215815740755,-58.5156490855613"
801,"-34.722074465942,-58.5152177528461"
802,"-34.7224113744893,-58.5148067785066"
803,"-34.7227929989259,-58.5143522358509"
804,"-34.7233512864858,-58.5136636987718"
805,"-34.7239482418922,-58.5128514928606"
806,"-34.7243646640929,-58.5122940544343"
807,"-34.724751758931,-58.5116951826021"
808,"-34.7250526380591,-58.5111870073216"
809,"-34.7254516023602,-58.5104079358502"
810,"-34.72571664564,-58.5097240166038"
811,"-34.7259761651155,-58.5090160787237"
812,"-34.7262264070634,-58.5084750952505"
813,"-34.7264683417442,-58.5080018895013"
814,"-34.7266389221374,-58.5077289307081"
815,"-34.7274881782557,-58.5065999774301"
816,"-34.7279556525573,-58.5060041781539"
817,"-34.7283394466123,-58.5056092962079"
818,"-34.7288958374297,-58.5050797346285"
819,"-34.7294191743196,-58.5046585694161"
820,"-34.7299532967458,-58.5042368133481"
821,"-34.7304025700129,-58.503984249409"
822,"-34.7308675735511,-58.5036560131648"
823,"-34.7312675751557,-58.5033238191995"
824,"-34.7319401976859,-58.5027224480521"
825,"-34.7325498446982,-58.5022554155726"
826,"-34.7331720250223,-58.5017933066005"
